X,Y,U1,U2
0.0955573,0.0294755,-0.208192,0.206985
0.0826239,0.056332,-0.180842,0.228822
0.062349,0.0781832,-0.136742,0.246552
0.0365341,0.0930874,-0.0801466,0.259387
0.00747301,0.0997204,-0.0154379,0.264607
-0.0222521,0.0974928,0.0485756,0.262791
-0.05,0.0866025,0.109722,0.254355
-0.0733052,0.0680173,0.160447,0.238205
-0.0900969,0.0433884,0.196846,0.218372
-0.0988831,0.0149042,0.215411,0.195619
-0.0988831,-0.0149042,0.214861,0.172305
-0.0900969,-0.0433884,0.194932,0.151142
-0.0733052,-0.0680173,0.1579,0.132561
-0.05,-0.0866025,0.106862,0.119126
-0.0222521,-0.0974928,0.0473835,0.111492
0.00747301,-0.0997204,-0.0153344,0.110071
0.0365341,-0.0930874,-0.0786556,0.114502
0.062349,-0.0781832,-0.134412,0.124952
0.0826239,-0.056332,-0.177906,0.141661
0.0955573,-0.0294755,-0.207183,0.161067
0.1,0.0,-0.217575,0.183801
0.48,-0.5,-0.329211,1.6452599999999998e-39
0.46,-0.5,-0.314831,1.43957e-39
0.44,-0.5,-0.300551,1.25324e-39
0.42,-0.5,-0.286345,1.08578e-39
0.4,-0.5,-0.272191,9.328560000000001e-40
0.37,-0.5,-0.251021,7.265930000000001e-40
0.35,-0.5,-0.236942,6.023100000000001e-40
0.33,-0.5,-0.222878,4.76565e-40
0.31,-0.5,-0.208826,3.5922300000000004e-40
0.29,-0.5,-0.1948,2.33416e-40
0.27,-0.5,-0.180803,1.1399800000000002e-40
0.25,-0.5,-0.166845,-1.7498e-41
0.23,-0.5,-0.15294,-1.47431e-40
0.21,-0.5,-0.13911,-2.85798e-40
0.19,-0.5,-0.125365,-4.26236e-40
0.17,-0.5,-0.11172,-5.6810300000000004e-40
0.15,-0.5,-0.0981839,-7.08915e-40
0.12,-0.5,-0.0781019,-9.11455e-40
0.1,-0.5,-0.0648609,-1.03192e-39
0.08,-0.5,-0.0517332,-1.14263e-39
