X,Y,U1,U2
0.0955573,0.0294755,0.0749397,-0.436199
0.0826239,0.056332,0.0659364,-0.495606
0.062349,0.0781832,0.0500052,-0.543447
0.0365341,0.0930874,0.0292319,-0.576433
0.00747301,0.0997204,0.0054069,-0.590881
-0.0222521,0.0974928,-0.017684,-0.586019
-0.05,0.0866025,-0.03975,-0.562219
-0.0733052,0.0680173,-0.0585851,-0.520965
-0.0900969,0.0433884,-0.0713745,-0.467066
-0.0988831,0.0149042,-0.0772442,-0.405008
-0.0988831,-0.0149042,-0.0766141,-0.340965
-0.0900969,-0.0433884,-0.0692905,-0.281127
-0.0733052,-0.0680173,-0.0555422,-0.228844
-0.05,-0.0866025,-0.0371784,-0.190283
-0.0222521,-0.0974928,-0.0164985,-0.167573
0.00747301,-0.0997204,0.00513383,-0.162954
0.0365341,-0.0930874,0.0275166,-0.176388
0.062349,-0.0781832,0.0472994,-0.207135
0.0826239,-0.056332,0.0628483,-0.254025
0.0955573,-0.0294755,0.0736404,-0.309817
0.1,0.0,0.0778882,-0.372792
0.48,-0.5,0.1547,-1.17061e-38
0.46,-0.5,0.146942,-1.15522e-38
0.44,-0.5,0.139271,-1.14056e-38
0.42,-0.5,0.131678,-1.12657e-38
0.4,-0.5,0.124158,-1.11301e-38
0.37,-0.5,0.113005,-1.09322e-38
0.35,-0.5,0.10566,-1.08024e-38
0.33,-0.5,0.0983936,-1.0664e-38
0.31,-0.5,0.0912101,-1.05279e-38
0.29,-0.5,0.0841294,-1.03769e-38
0.27,-0.5,0.0771633,-1.02277e-38
0.25,-0.5,0.0703285,-1.00611e-38
0.23,-0.5,0.0636451,-9.89419e-39
0.21,-0.5,0.0571322,-9.716329999999999e-39
0.19,-0.5,0.0508069,-9.53406e-39
0.17,-0.5,0.0446809,-9.350439999999999e-39
0.15,-0.5,0.0387622,-9.168759999999999e-39
0.12,-0.5,0.0302776,-8.90874e-39
0.1,-0.5,0.0248696,-8.754699999999999e-39
0.08,-0.5,0.0196467,-8.61358e-39
0.06,-0.5,0.0145846,-8.50111e-39
0.04,-0.5,0.009649,-8.41646e-39
0.02,-0.5,0.00480219,-8.36476e-39
0.5,-0.5,0.162563,-5.915289999999999e-39
0.0,-0.5,-0.0,-8.34819e-39
0.5,0.48,0.136722,-0.671517
0.5,0.46,0.140498,-0.658192
0.5,0.44,0.144255,-0.644878
0.5,0.42,0.14798,-0.631568
0.5,0.4,0.151667,-0.618254
0.5,0.37,0.157123,-0.598263
0.5,0.35,0.160715,-0.584918
0.5,0.33,0.164278,-0.571566
0.5,0.31,0.167817,-0.558212
0.5,0.29,0.17133,-0.544867
0.5,0.27,0.17482,-0.53155
0.5,0.25,0.178276,-0.518288
0.5,0.23,0.181681,-0.505095
0.5,0.21,0.185014,-0.491988
0.5,0.19,0.188251,-0.478994
0.5,0.17,0.191351,-0.466133
0.5,0.15,0.194271,-0.453417
0.5,0.12,0.198208,-0.434628
0.5,0.1,0.200465,-0.422271
0.5,0.08,0.202363,-0.410056
0.5,0.06,0.20387,-0.397942
0.5,0.04,0.204939,-0.385886
0.5,0.02,0.20555,-0.373852
0.5,0.0,0.205686,-0.361811
0.5,-0.02,0.205339,-0.349706
0.5,-0.04,0.204528,-0.337492
0.5,-0.06,0.203277,-0.325095
