X,Y,U1,U2
0.0955573,0.0294755,-0.666264,-1.14607
0.0826239,0.056332,-0.574526,-1.33392
0.062349,0.0781832,-0.433684,-1.48447
0.0365341,0.0930874,-0.254573,-1.58523
0.00747301,0.0997204,-0.0501551,-1.63137
-0.0222521,0.0974928,0.154458,-1.61614
-0.05,0.0866025,0.349858,-1.53932
-0.0733052,0.0680173,0.50931,-1.4138
-0.0900969,0.0433884,0.627357,-1.24347
-0.0988831,0.0149042,0.690834,-1.04695
-0.0988831,-0.0149042,0.691234,-0.843303
-0.0900969,-0.0433884,0.628208,-0.649927
-0.0733052,-0.0680173,0.51179,-0.481417
-0.05,-0.0866025,0.348417,-0.355785
-0.0222521,-0.0974928,0.154425,-0.280403
0.00747301,-0.0997204,-0.0510029,-0.264415
0.0365341,-0.0930874,-0.255695,-0.309432
0.062349,-0.0781832,-0.435561,-0.410914
0.0826239,-0.056332,-0.575287,-0.56182
0.0955573,-0.0294755,-0.667713,-0.743747
0.1,0.0,-0.698433,-0.944957
0.48,-0.5,-0.872552,-5.03043e-38
0.46,-0.5,-0.839446,-5.05632e-38
0.44,-0.5,-0.8064,-5.07618e-38
0.42,-0.5,-0.773331,-5.08998e-38
0.4,-0.5,-0.740166,-5.09864e-38
0.37,-0.5,-0.690084,-5.10279e-38
0.35,-0.5,-0.656408,-5.100019999999999e-38
0.33,-0.5,-0.62242,-5.09371e-38
0.31,-0.5,-0.588081,-5.08435e-38
0.29,-0.5,-0.553351,-5.07174e-38
0.27,-0.5,-0.518196,-5.05685e-38
0.25,-0.5,-0.482581,-5.03931e-38
0.23,-0.5,-0.446476,-5.02081e-38
0.21,-0.5,-0.409891,-5.00106e-38
0.19,-0.5,-0.372793,-4.98015e-38
0.17,-0.5,-0.335194,-4.95927e-38
0.15,-0.5,-0.297109,-4.93884e-38
0.12,-0.5,-0.239122,-4.910099999999999e-38
0.1,-0.5,-0.199956,-4.89331e-38
0.08,-0.5,-0.160432,-4.8781e-38
0.06,-0.5,-0.120599,-4.8662e-38
0.04,-0.5,-0.0805328,-4.85737e-38
0.02,-0.5,-0.0403057,-4.85192e-38
0.5,-0.5,-0.905814,-2.5031e-38
0.0,-0.5,-0.0,-4.85028e-38
0.5,0.48,-0.919223,-1.82613
0.5,0.46,-0.919347,-1.79288
0.5,0.44,-0.91962,-1.75972
0.5,0.42,-0.920171,-1.72659
0.5,0.4,-0.921087,-1.69343
0.5,0.37,-0.923258,-1.64342
0.5,0.35,-0.92527,-1.60981
0.5,0.33,-0.927723,-1.57587
0.5,0.31,-0.930587,-1.54154
0.5,0.29,-0.933852,-1.50678
0.5,0.27,-0.937465,-1.47148
0.5,0.25,-0.941334,-1.43558
0.5,0.23,-0.945404,-1.3991
0.5,0.21,-0.949602,-1.36203
0.5,0.19,-0.953864,-1.32427
0.5,0.17,-0.958072,-1.28583
0.5,0.15,-0.962135,-1.24674
0.5,0.12,-0.96775,-1.18691
0.5,0.1,-0.971054,-1.14633
0.5,0.08,-0.973883,-1.10521
0.5,0.06,-0.976188,-1.06366
0.5,0.04,-0.977903,-1.02179
0.5,0.02,-0.978983,-0.979659
0.5,0.0,-0.979381,-0.937351
0.5,-0.02,-0.979081,-0.895002
0.5,-0.04,-0.978098,-0.852708
0.5,-0.06,-0.976446,-0.8106
0.5,-0.08,-0.974171,-0.768753
0.5,-0.1,-0.971326,-0.727256
0.5,-0.13,-0.966151,-0.665844
0.5,-0.15,-0.962182,-0.625516
0.5,-0.17,-0.957916,-0.58576
0.5,-0.19,-0.953441,-0.546578
0.5,-0.21,-0.948812,-0.50796
0.5,-0.23,-0.944119,-0.469971
0.5,-0.25,-0.939475,-0.432603
0.5,-0.27,-0.934939,-0.395768
0.5,-0.29,-0.930571,-0.359436
0.5,-0.31,-0.926415,-0.323635
0.5,-0.33,-0.922541,-0.288302
0.5,-0.35,-0.918994,-0.25339
0.5,-0.38,-0.914374,-0.201716
0.5,-0.4,-0.911797,-0.167625
0.5,-0.42,-0.90967,-0.1338
0.5,-0.44,-0.907991,-0.100179
0.5,-0.46,-0.906787,-0.0666982
0.5,-0.48,-0.906058,-0.0333231
0.5,0.5,-0.919116,-1.85947
-0.48,0.5,0.88586,-1.8593
-0.46,0.5,0.852602,-1.85917
